기준연도,기준월,비아파트,아파트
2024,3,2616,3482
2024,2,2130,2665
2024,1,2243,2456
2023,12,2283,1790
2023,11,2544,2417
2023,10,2459,2983
2023,9,1551,3845
2023,8,1625,4091
2023,7,1277,3804
2023,6,1538,4136
2023,5,1757,3711
2023,4,2141,2981
2023,3,2578,3234
2023,2,1689,2286
2023,1,1480,1161
2022,12,1843,1001
2022,11,1791,761
2022,10,2505,900
2022,9,2532,856
2022,8,3108,907
2022,7,3830,1028
2022,6,4603,2014
2022,5,5292,2372
2022,4,4496,1624
2022,3,3862,1236
2022,2,3211,1404
2022,1,3550,1281
2021,12,3760,1634
2021,11,4496,2305
2021,10,4308,2839
2021,9,3710,3874
2021,8,3997,5054
2021,7,4368,4646
2021,6,4481,4240
2021,5,4055,5090
2021,4,4679,4194
2021,3,4627,4495
2021,2,4272,5435
2021,1,4330,5945
2020,12,8426,8764
2020,11,5357,4725
2020,10,5339,4320
2020,9,4960,4795
2020,8,4579,6880
2020,7,10660,16002
2020,6,9379,11106
2020,5,5927,4328
2020,4,5753,3699
2020,3,6163,9152
2020,2,6139,9522
2020,1,6343,10491
2019,12,8047,14117
2019,11,6358,10955
2019,10,5871,8274
2019,9,4683,7096
2019,8,4928,8586
2019,7,3247,7009
2019,6,5520,4470
2019,5,5645,3432
2019,4,5455,2469
2019,3,3820,1813
2019,2,2928,1624
2019,1,4151,1889
2018,12,4620,2380
2018,11,4588,3736
2018,10,6805,10977
2018,9,4833,12395
2018,8,6890,7687
2018,7,6901,5852
2018,6,4571,4830
2018,5,6022,5697
2018,4,5812,6535
2018,3,9558,14609
2018,2,5809,11986
2018,1,5169,9938
