기준연도,기준월,건물용도별_합계,주거용_소계,단독주택,다가구주택,다세대주택,연립주택,아파트,상업업무용_소계,공업용,기타건물,나지
2018,1,"34,311","25,583","1,534",226,"4,948",663,"18,212","6,642","1,033","1,053",0
2018,2,"29,839","23,538","1,476",241,"5,724",792,"15,305","5,175",547,579,0
2018,3,"41,973","33,600","2,568",420,"8,633","1,306","20,673","7,311",501,561,0
2018,4,"24,652","18,594","1,696",310,"5,845",613,"10,130","4,874",753,431,0
2018,5,"27,287","20,538","1,711",322,"5,428",765,"12,312","5,762",482,505,0
2018,6,"23,188","16,275","1,539",267,"4,865",591,"9,013","5,837",510,566,0
2018,7,"32,681","22,238","1,687",251,"6,014",638,"13,648","8,534","1,118",791,0
2018,8,"27,366","21,273","1,517",324,"5,567",683,"13,182","4,636","1,045",412,0
2018,9,"30,909","26,088","1,642",268,"5,768",846,"17,564","3,957",506,358,0
2018,10,"34,135","27,127","1,873",443,"7,307",895,"16,609","5,911",601,496,0
2018,11,"21,295","15,821","1,179",456,"5,713",625,"7,848","4,648",420,406,0
2018,12,"19,972","13,603","1,212",402,"4,857",542,"6,590","5,140",826,403,0
2019,1,"20,286","13,452","1,126",335,"4,458",533,"7,000","5,451",986,397,0
2019,2,"13,884","9,027",820,214,"3,061",307,"4,625","3,537",879,441,0
2019,3,"18,502","12,206",983,356,"3,893",510,"6,464","4,032",922,"1,342",0
2019,4,"18,622","12,897","1,221",405,"4,335",661,"6,275","4,255",581,889,0
2019,5,"20,362","13,581","1,003",352,"4,445",503,"7,278","5,991",219,571,0
2019,6,"22,666","17,434",972,320,"4,494",443,"11,205","4,301",439,492,0
2019,7,"27,125","20,486","1,072",343,"4,816",658,"13,597","5,295",332,"1,012",0
2019,8,"25,675","20,565","1,005",359,"4,706",535,"13,960","4,347",333,430,0
2019,9,"22,698","17,419",916,350,"4,130",540,"11,483","4,287",415,577,0
2019,10,"27,705","21,670","1,132",365,"5,161",619,"14,393","5,144",459,432,0
2019,11,"29,648","23,188","1,266",496,"5,585",809,"15,032","5,149",710,601,0
2019,12,"37,908","28,973","1,627",604,"7,524",920,"18,298","6,505",745,"1,685",0
2020,1,"33,871","25,962","1,314",468,"5,819",816,"17,545","6,627",600,682,0
2020,2,"31,898","25,188","1,481",444,"5,967",781,"16,515","5,720",385,605,0
2020,3,"31,856","24,483","1,434",552,"6,117",859,"15,521","6,171",495,707,0
2020,4,"20,041","14,963","1,132",434,"5,451",614,"7,332","4,120",481,477,0
2020,5,"22,107","17,361","1,122",410,"5,312",750,"9,767","3,749",537,460,0
2020,6,"32,226","25,543","1,381",505,"6,949",947,"15,761","4,993",907,783,0
2020,7,"47,142","37,221","2,025",752,"9,321","1,085","24,038","8,093","1,385",443,0
2020,8,"28,255","22,099","1,682",516,"6,845",779,"12,277","5,031",705,420,0
2020,9,"26,883","20,820",980,417,"5,610",606,"13,207","4,662",822,579,0
2020,10,"23,560","18,036","1,050",372,"5,686",652,"10,276","4,569",590,365,0
2020,11,"25,252","18,051","1,020",352,"5,520",611,"10,548","5,387","1,407",407,0
2020,12,"32,519","24,168","1,353",462,"7,362",931,"14,060","6,630","1,124",597,0
2021,1,"28,958","22,088",966,322,"6,147",649,"14,004","5,773",624,473,0
2021,2,"24,068","17,700",983,411,"6,781",721,"8,804","5,215",624,529,0
2021,3,"25,656","17,132","1,432",439,"6,223",702,"8,336","6,818",605,"1,101",0
2021,4,"29,547","22,519","1,291",514,"8,216",789,"11,709","5,857",623,548,0
2021,5,"27,000","19,519","1,232",525,"7,389",945,"9,428","6,152",718,611,0
2021,6,"24,502","17,117","1,021",488,"7,386",801,"7,421","5,750",808,827,0
2021,7,"24,052","15,921",907,419,"6,203",544,"7,848","5,945","1,316",870,0
2021,8,"21,471","14,101",861,360,"5,693",532,"6,655","5,847","1,049",474,0
2021,9,"21,600","12,808",711,351,"5,530",457,"5,759","6,930","1,435",427,0
2021,10,"18,338","11,121",732,297,"5,320",456,"4,316","5,451","1,248",518,0
2021,11,"18,535","11,409",821,370,"5,262",519,"4,437","5,319",908,899,0
2021,12,"19,164","11,568",810,333,"4,954",540,"4,931","5,593","1,338",665,0
2022,1,"15,425","9,385",511,198,"3,797",418,"4,461","4,467","1,130",443,0
2022,2,"13,651","8,027",472,202,"3,430",352,"3,571","4,135",947,542,0
2022,3,"14,603","9,131",585,223,"3,982",415,"3,926","4,224",621,627,0
2022,4,"15,715","9,509",710,343,"4,533",415,"3,508","4,666",851,689,0
2022,5,"18,343","11,627",866,358,"4,948",620,"4,835","5,364",738,614,0
2022,6,"16,251","10,043",793,281,"4,321",480,"4,168","5,013",766,429,0
2022,7,"14,473","9,547",542,260,"3,725",369,"4,651","3,706",735,485,0
2022,8,"10,968","6,993",471,201,"3,225",357,"2,739","3,054",423,498,0
2022,9,"9,182","5,224",427,174,"2,584",266,"1,773","2,982",448,528,0
2022,10,"7,999","5,435",316,163,"2,470",399,"2,087","1,897",310,357,0
2022,11,"8,553","4,982",351,161,"2,127",203,"2,140","2,547",412,612,0
2022,12,"11,095","7,199",578,234,"2,776",263,"3,348","3,144",290,462,0
2023,1,"9,077","6,536",222,85,"1,578",122,"4,529","2,162",225,154,0
2023,2,"15,046","12,395",203,94,"1,674",198,"10,226","2,121",333,197,0
2023,3,"12,438","9,324",315,128,"2,243",413,"6,225","2,312",414,388,0
2023,4,"11,006","7,896",263,110,"2,015",212,"5,296","2,456",433,221,0
2023,5,"18,655","15,470",324,127,"2,633",385,"12,001","2,442",464,279,0
2023,6,"12,919","9,787",359,151,"2,504",267,"6,506","2,271",308,553,0
2023,7,"14,095","10,660",266,138,"2,354",276,"7,626","2,552",542,341,0
2023,8,"12,720","9,311",303,144,"2,757",277,"5,830","2,505",646,258,0
2023,9,"13,668","10,377",314,144,"2,686",295,"6,938","2,615",412,264,0
2023,10,"13,046","9,861",305,130,"2,545",276,"6,605","2,571",437,177,0
2023,11,"13,018","9,534",358,170,"2,518",353,"6,135","2,503",578,403,0
2023,12,"13,312","9,177",341,142,"2,486",203,"6,005","2,886",794,455,0
2024,1,"12,323","9,121",269,116,"2,488",253,"5,995","2,170",673,359,0
2024,2,"10,535","7,780",230,102,"2,177",247,"5,024","2,213",301,241,0
2024,3,"11,848","7,991",321,150,"2,807",249,"4,464","2,793",762,302,0
