기준연도,기준월,면적/동(호),전국,서울,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
2018,01월,면적,134312,18212,114,197,760,610,254,475,1272,690,157,308,754,414,721,511,592,543,755,1081,780,421,291,915,884,2222,2491
2018,01월,동(호),10395,1429,9,15,69,50,22,36,100,54,12,20,50,31,50,41,49,39,60,74,61,35,21,75,82,173,203
2018,02월,면적,113363,15305,103,227,850,614,273,626,520,724,224,486,1205,1251,534,587,587,730,548,147,607,537,344,864,925,1097,695
2018,02월,동(호),8698,1181,8,18,58,49,23,47,34,58,13,28,80,96,40,46,47,53,40,10,48,44,25,79,87,93,54
2018,03월,면적,135730,20673,130,367,950,677,298,612,740,1306,303,697,1495,1209,592,620,661,1038,1110,523,1279,889,585,1503,1104,1094,891
2018,03월,동(호),10465,1576,11,29,67,50,27,48,46,98,24,46,95,82,47,51,53,77,84,55,91,66,44,135,95,89,64
2018,04월,면적,101527,10130,251,195,142,482,176,392,276,763,207,335,632,432,279,364,322,587,482,479,411,757,311,380,348,527,600
2018,04월,동(호),7661,749,12,12,13,33,14,27,20,52,15,24,42,32,21,26,25,44,34,58,29,56,23,34,29,36,35
2018,05월,면적,103149,12312,46,205,148,231,105,525,278,483,178,264,579,1916,527,515,321,417,452,163,1149,316,247,548,2093,270,336
2018,05월,동(호),7754,913,4,12,14,19,9,32,21,39,14,19,39,138,39,36,25,31,31,10,76,25,19,41,179,21,22
2018,06월,면적,104209,9013,79,151,151,166,86,306,362,416,162,262,502,424,305,1499,278,330,379,155,400,400,254,429,1091,209,237
2018,06월,동(호),7904,637,6,15,15,12,7,22,25,30,12,18,32,31,23,111,21,24,23,11,26,32,21,36,36,18,15
2018,07월,면적,108400,13648,70,192,214,214,83,648,496,496,162,303,1415,418,299,310,444,464,527,151,2225,411,362,519,2251,1066,271
2018,07월,동(호),8195,992,5,18,18,16,7,42,36,36,12,22,101,33,21,23,34,32,34,11,151,33,23,40,175,76,19
2018,08월,면적,102407,13182,74,202,202,322,110,770,865,1742,229,405,811,500,624,490,1079,586,568,256,1774,391,331,325,799,432,598
